sol,earth_date,photo_count,rover_name,camera_name,year,month,day_of_week
4582,2025-06-26,76,Curiosity,"Mars Descent Imager, MAST_LEFT, CHEMCAM_RMI, NAV_RIGHT_B, FHAZ_LEFT_B, FHAZ_RIGHT_B, NAV_LEFT_B",2025,6,Thursday
4583,2025-06-27,5,Curiosity,CHEMCAM_RMI,2025,6,Friday
4584,2025-06-29,24,Curiosity,"CHEMCAM_RMI, NAV_RIGHT_B, FHAZ_LEFT_B, FHAZ_RIGHT_B, RHAZ_LEFT_B, RHAZ_RIGHT_B",2025,6,Sunday
4585,2025-06-30,48,Curiosity,"CHEMCAM_RMI, NAV_RIGHT_B, FHAZ_LEFT_B, FHAZ_RIGHT_B, NAV_LEFT_B",2025,6,Monday
4586,2025-07-01,38,Curiosity,"CHEMCAM_RMI, NAV_RIGHT_B, FHAZ_LEFT_B, FHAZ_RIGHT_B, RHAZ_LEFT_B, RHAZ_RIGHT_B",2025,7,Tuesday
4587,2025-07-02,57,Curiosity,"Mars Descent Imager, CHEMCAM_RMI, NAV_RIGHT_B, FHAZ_LEFT_B, FHAZ_RIGHT_B, NAV_LEFT_B",2025,7,Wednesday
4588,2025-07-03,38,Curiosity,"CHEMCAM_RMI, FHAZ_LEFT_B, FHAZ_RIGHT_B, NAV_LEFT_B",2025,7,Thursday
4589,2025-07-04,12,Curiosity,CHEMCAM_RMI,2025,7,Friday
4590,2025-07-05,9,Curiosity,"CHEMCAM_RMI, FHAZ_LEFT_B, FHAZ_RIGHT_B, RHAZ_LEFT_B, RHAZ_RIGHT_B",2025,7,Saturday
4591,2025-07-06,74,Curiosity,"MAST_LEFT, CHEMCAM_RMI, NAV_RIGHT_B, FHAZ_LEFT_B, FHAZ_RIGHT_B, NAV_LEFT_B",2025,7,Sunday
4592,2025-07-07,2,Curiosity,CHEMCAM_RMI,2025,7,Monday
4593,2025-07-08,26,Curiosity,"CHEMCAM_RMI, NAV_RIGHT_B, FHAZ_LEFT_B, FHAZ_RIGHT_B, RHAZ_LEFT_B, RHAZ_RIGHT_B",2025,7,Tuesday
4594,2025-07-09,34,Curiosity,"CHEMCAM_RMI, FHAZ_LEFT_B, FHAZ_RIGHT_B, NAV_LEFT_B",2025,7,Wednesday
4595,2025-07-10,24,Curiosity,"CHEMCAM_RMI, NAV_RIGHT_B, FHAZ_LEFT_B, FHAZ_RIGHT_B, RHAZ_LEFT_B, RHAZ_RIGHT_B",2025,7,Thursday
4596,2025-07-11,39,Curiosity,"CHEMCAM_RMI, FHAZ_LEFT_B, FHAZ_RIGHT_B, NAV_LEFT_B",2025,7,Friday
4597,2025-07-12,27,Curiosity,"CHEMCAM_RMI, NAV_RIGHT_B, FHAZ_LEFT_B, FHAZ_RIGHT_B, RHAZ_LEFT_B, RHAZ_RIGHT_B",2025,7,Saturday
4598,2025-07-13,41,Curiosity,"Mars Descent Imager, CHEMCAM_RMI, NAV_RIGHT_B, FHAZ_LEFT_B, FHAZ_RIGHT_B, NAV_LEFT_B",2025,7,Sunday
4599,2025-07-14,6,Curiosity,CHEMCAM_RMI,2025,7,Monday
4600,2025-07-15,40,Curiosity,"CHEMCAM_RMI, FHAZ_LEFT_B, FHAZ_RIGHT_B, NAV_LEFT_B",2025,7,Tuesday
4601,2025-07-16,2,Curiosity,CHEMCAM_RMI,2025,7,Wednesday
4602,2025-07-17,47,Curiosity,"MAST_LEFT, CHEMCAM_RMI, NAV_RIGHT_B, FHAZ_LEFT_B, FHAZ_RIGHT_B, NAV_LEFT_B",2025,7,Thursday
4603,2025-07-18,2,Curiosity,CHEMCAM_RMI,2025,7,Friday
4604,2025-07-19,14,Curiosity,"CHEMCAM_RMI, NAV_RIGHT_B, FHAZ_LEFT_B, FHAZ_RIGHT_B, RHAZ_LEFT_B, RHAZ_RIGHT_B",2025,7,Saturday
4605,2025-07-20,54,Curiosity,"Mars Descent Imager, MAST_LEFT, CHEMCAM_RMI, NAV_RIGHT_B, FHAZ_LEFT_B, FHAZ_RIGHT_B, NAV_LEFT_B",2025,7,Sunday
4607,2025-07-22,16,Curiosity,NAV_RIGHT_B,2025,7,Tuesday
4608,2025-07-23,26,Curiosity,"CHEMCAM_RMI, NAV_RIGHT_B, FHAZ_LEFT_B, FHAZ_RIGHT_B, RHAZ_LEFT_B, RHAZ_RIGHT_B",2025,7,Wednesday
4609,2025-07-24,58,Curiosity,"CHEMCAM_RMI, NAV_RIGHT_B, FHAZ_LEFT_B, FHAZ_RIGHT_B, NAV_LEFT_B",2025,7,Thursday
